mammal,5,2411289,"mammal_(species),mammale,mammalian,mammals,panda_panda,ungulate"
anthro,0,2238650,"anhtro,anthrofur,anthromorph,anthromorphic,anthropomorph,anthropomorphic,anthros,antrho,antro"
hi_res,7,1948793,"hd,hi-res,hi_def,hi_resolution,high-res,high_definition,high_res,high_resolution,highres,hires"
female,0,1812633,"1_girl,1girl,2_girl,2_girls,2girl,2girls,3_girl,3_girls,3girl,3girls,4_girl,4_girls,4girl,4girls,5_girls,7girls,all_female,babe,babes,bad_girl,bitch,doe,f,f/solo,feamle,femael,female/solo,female_feral,female_on_monster,female_only,female_solo,femalefur,females,fembeast,feral_female,four_girl,four_girls,fsolo,gen:female,girl,girls,many_girls,multiple_females,multiple_girls,one_girl,shewolf,solo_female,three_girl,three_girls,two_girl,two_girls,woman,women"
male,0,1713089,"1_boy,1_guys,1boy,1guy,1male,2_boys,2_guys,2boys,2guys,3_boys,3_guys,3boys,3guys,4_boys,4_guys,4boys,4guys,5boys,5guys,big_boy,bishonen,boi,boy,boys,feral_male,four_boys,four_guys,gen:male,guy,guys,m,m/solo,male/solo,male_feral,male_only,male_solo,malefur,males,males_only,man,men,msolo,multiple_boys,multiple_guys,multiple_males,one_boy,one_guy,sole_male,solo/male,solo_male,three_boys,three_guys,two_boys,two_guys"
solo,0,1621201,"alone,single"
clothing,0,1390152,"(clothing),clothes,cloths,girly_clothing,traditional_clothing"
breasts,0,1217515,"2_breasts,average_breasts,boob,boobie,boobies,boobs,breast,breasts_outside,breats,brests,massive_breasts,nockers,oppai,pechos,tetas,tiddies,tits,titties,torpedo_tits"
hair,0,1208696,"anime_hair,colorful_hair,girly_hair,hair_style,hairstyle,neon_hair"
fur,0,1144078,"furred,uncolored_fur"
duo,0,1098593,"pair,two_characters"
bodily_fluids,0,980825,"bio_fluid,bio_fluids,biofluid,biofluids,bodily_fluid,bodily_waste,body_fluid,body_fluids,body_waste,excreta,excretion,excretory_product,excretory_waste,human_waste,human_waste_matter,waste_matter"
canid,5,919005,"anthro_canid,candid_(species),canidae,canide,feral_canid"
nude,0,908790,"naked,no_clothes,nudes,nudity,sfw_nudity,unclothed"
canine,5,885927,"anthro_canine,canines,cannine,cnaine,feral_canine,k9,mongrel"
simple_background,0,881824,"basic_background,basic_bg,blank_background,blank_bg,chromatic_background,chromatic_bg,empty_background,empty_bg,flat_background,flat_bg,generic_background,generic_bg,minimal_background,minimal_bg,minimalist_background,minimalist_bg,monochromatic_background,monochromatic_bg,monochrome_background,monochrome_bg,plain_background,plain_bg,simple_backround,simple_bg,simplistic_background,simplistic_bg,solid_background,solid_bg,stoopidly_simple_background,stoopidly_simple_bg,undetailed_background,undetailed_bg,very_simple_background,very_simple_bg"
nipples,0,866203,"male_nipples,niples,nippels,nippes,nipple,nippls,supernumerary_nipples"
digital_media_(artwork),7,827929,"artwork_(digital),digital,digital_art,digital_artwork,digital_artworks,digital_media,digital_media(art),digital_media(artwork),digital_media_(art),digital_media_artwork,digitalart,digitalartwork"
clothed,0,775297,"cltohed,dressed,half-dressed,half_dressed"
text,0,739247,"colored_text,coloured_text,moonspeak,words"
genital_fluids,0,719425,"genital_fluid,genitalia_fluid,genitalia_fluids"
